PlayerID,Name,Team,Orig_pos,Gen_pos,YrsPro,Ht,Wt,Season,FPPG_2016,FPPG_2017,FPPG_2018,FPPG_2019,FPPG_2020,FPPG_2021,FPPG_2022,FPPG_2023,FPPG_2024,FPPG_2025,STDEV_2016,STDEV_2017,STDEV_2018,STDEV_2019,STDEV_2020,STDEV_2021,STDEV_2022,STDEV_2023,STDEV_2024,STDEV_2025
EricAl01,Alex Erickson,Cincinnati Bengals,WR,WR,3,72,195,2019,0.4375,1.5,1.0625,1.987963134,1.542076943,1.138759217,0.732876561,0.155916694,-0.074329415,-0.227868371,0,0,0,3.294270345,3.145056868,2.691470358,2.691819023,2.552612876,1.917456981,1.861850868
FinlRy00,Ryan Finley,Cincinnati Bengals,QB,QB,0,76,207,2019,,,,2.863879993,4.1903424,3.876352951,4.194021845,3.859548924,3.24272203,2.792633513,,,,4.892545586,5.931558798,5.292128431,5.32181111,4.478044139,4.796300229,3.310420745
GreeA.00,A.J. Green,Cincinnati Bengals,WR,WR,8,76,210,2019,7.5,9.5,6.4375,6.636559786,4.49085393,2.625688194,0.810037066,-0.240176469,-0.572789608,-0.83337791,0,0,0,4.034819598,5.000000496,4.387181468,3.752510235,3.060977797,2.715423991,2.183850367
HarrCl20,Clark Harris,Cincinnati Bengals,TE,TE,12,77,250,2019,0,0,0,-0.038876903,-0.121208411,-0.144265184,-0.185096109,-0.20514169,-0.222192155,-0.227163664,0,0,0,0.667373111,0.990400004,0.556556776,0.364059078,0.050457426,0.009558514,0
MixoJo00,Joe Mixon,Cincinnati Bengals,RB,RB,2,73,220,2019,,6.9375,12.5,9.835538672,9.142442807,8.302842185,7.277524824,4.93372759,2.941200292,0.866548956,,0,0,6.308559363,5.868905686,5.972879655,5.617346225,5.041654401,5.565093997,4.884034743
PeriSa00,Samaje Perine,Cincinnati Bengals,RB,RB,2,71,240,2019,,5.4375,0.25,4.77773751,3.101904524,2.447522991,2.299719742,0.72490005,-0.055850713,-0.178251537,,0,0,5.484355754,4.500998141,3.827079285,3.171382781,3.615568541,3.459739632,1.724967218
RossJo00,John Ross,Cincinnati Bengals,WR,WR,2,71,194,2019,,-0.0625,4,4.40173601,3.766934581,3.55511394,2.993053715,2.372898994,1.701639662,1.053528422,,0,0,3.552199667,3.206590851,3.123022045,2.944902797,2.648714465,2.540441535,2.403459313
SampDr00,Drew Sample,Cincinnati Bengals,TE,TE,0,76,258,2019,,,,1.589010003,1.887354274,1.924565669,1.955622825,1.881938156,1.666266388,1.433014319,,,,1.577747461,2.007572796,1.827220236,1.616607005,1.605405705,1.55669611,1.390994631
TateAu00,Auden Tate,Cincinnati Bengals,WR,WR,1,77,228,2019,,,0.25,1.587092359,1.418271307,1.591129861,1.325419481,0.969735929,0.500171737,-0.012131576,,,0,3.315159962,3.140365234,3.026397144,2.667592204,2.63143149,2.269744513,2.11311308
UzomC.00,C.J. Uzomah,Cincinnati Bengals,TE,TE,4,78,260,2019,1.8125,0.9375,3.875,2.769084417,2.393338644,2.007744612,1.592863835,0.949525205,0.342345636,-0.058459377,0,0,0,1.911471568,2.281982205,1.975392561,1.991269951,1.68867596,1.50111238,1.41323995
