PlayerID,CompRank,CompID,CompName,CompYr,Similarity,Sim_Adjust,Neg3YrAV,Neg2YrAV,Neg1YrAV,0YrAV,1YrAV,2YrAV,3YrAV,4YrAV,5YrAV,6YrAV,YrDiff,AgeDiff,SzDiff,DrftDiff,RosterDiff,SttsDiff
HaskDw00,2,FoleNi00,Nick Foles,2013,42.376332026405194,0.0,,,5.375,16.625,7.4375,6.0,1.75,2.125,4.6875,2.375,0.97,0.75,0.6469923421083339,0.5959859519857391,0.8925990054660671,0.08955074480232805
HaskDw00,3,RudoMa00,Mason Rudolph,2019,37.993863024534875,0.0,,,0.0,6.8125,,,,,,,1.21,0.75,0.9568723158987521,0.652152297821594,0.8749180300757309,-0.222442647634588
HaskDw00,4,GabbBl00,Blaine Gabbert,2012,34.723198881318,0.0,,,7.75,5.875,0.75,0.375,8.125,4.5625,3.875,2.0625,0.9299999999999999,1.25,1.1650386304113884,1.0788367007796356,0.7489026815555825,-0.4643336577881836
HaskDw00,5,LeinMa00,Matt Leinart,2007,34.259430005911604,0.0,,,8.6875,1.875,0.8125,0.6875,0.0,0.375,0.1875,0.0,0.73,0.75,0.9568723158987521,1.0788367007796356,0.8255929157858675,-0.350213040353186
HaskDw00,6,DarnSa00,Sam Darnold ,2019,31.507098826144077,0.0,,,10.5,11.8125,,,,,,,1.21,0.75,0.9568723158987521,0.9848349570550448,0.4433959471496667,-0.3645011980091295
HaskDw00,7,MettZa00,Zach Mettenberger,2015,31.470724083383327,0.0,,,4.4375,2.75,0.0,0.0,0.0,0.0,,,1.05,0.75,0.9515038521380804,0.32825742476546094,0.10992749580599837,0.18206752089095546
HaskDw00,8,TeboTi00,Tim Tebow,2011,30.797523038423435,0.0,,,6.1875,13.3125,0.75,0.0,0.0,0.0,0.0,0.0,0.89,0.75,0.6797227298226153,1.0079385408620365,0.8540122555666758,-0.42963585864357445
HaskDw00,9,CunnRa00,Randall Cunningham,1986,30.73423537603828,0.0,,,1.875,9.875,16.533333333333335,19.6875,17.25,22.3125,0.0625,15.625,-0.1100000000000001,1.25,0.9441390694809981,0.8501534892701237,0.8283795940971859,0.038617619730859865
HaskDw00,10,TrubMi00,Mitchell Trubisky ,2018,30.383918013340015,0.0,,,8.4375,16.4375,12.6875,,,,,,1.17,0.75,0.6337309610583156,0.9740074729272548,-0.08391045633576999,0.11220713254820369
WilsCa00,1,TelfRa00,Randall Telfer,2016,57.40809999902503,0.0,,,0.0,0.0,0.25,0.0,0.0,,,,1.09,1.25,0.7076274979340857,1.25,0.9211139562652368,0.25536027411330875
WilsCa00,2,WillLu00,Luke Willson,2013,44.33556055995754,0.0,,,,2.0625,3.5,1.6875,1.5625,2.4375,0.5625,0.5,0.97,0.75,0.8709600103346056,1.0969068910760513,0.23878042394579202,0.29991970040013805
WilsCa00,3,TyexWi00,Will Tye,2015,43.25935259230931,0.0,,,,3.875,2.875,0.25,0.0,0.0,,,1.05,1.25,0.5940148106742684,1.25,1.103411952558872,-0.17247340407411826
WilsCa00,4,KnoxDa00,Dawson Knox,2019,41.920377596650496,0.0,,,,3.25,,,,,,,1.21,0.75,0.9067794121661785,0.3839745962155614,0.7167321303291792,0.1402384307973592
WilsCa00,5,HarrCl20,Clark Harris,2008,41.62171813390508,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.25,0.8322032601580067,1.25,-0.14529095832066719,0.6925705294971567
WilsCa00,6,KoyaBe00,Ben Koyack,2016,41.49034254171992,0.0,,,0.0,1.375,0.375,0.0,0.0625,,,,1.09,0.75,0.6893461106658876,1.25,0.053151803230890415,0.4424498481980017
WilsCa00,7,StupJo00,Jonathan Stupar,2009,41.17186665999843,0.0,,,,0.25,0.6875,0.0,0.0,0.0,0.0,0.0,0.81,0.75,0.9220074053371342,1.25,0.02455702933296333,0.4432653766886979
WilsCa00,8,BienTr00,Troy Bienemann,2007,40.51203401211437,0.0,,,,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.25,0.7299423038337304,1.25,0.01096394365598008,0.42016189391390135
WilsCa00,9,LeggJo00,Jordan Leggett,2018,40.433627323895024,0.0,,,0.0,1.0625,0.0,,,,,,1.17,0.75,0.9339484351885056,0.9076734015592711,-0.1359288878663727,0.6354112228041834
WilsCa00,10,GainMi00,Michael Gaines,2004,39.86272424864623,0.0,,,,0.1875,1.75,0.9375,2.125,2.0,1.5,0.0,0.61,1.25,0.3003456606779692,1.25,0.7987360570605503,0.10531584545444406
VeasJo00,1,ColeKe00,Keelan Cole,2017,54.8799941540588,0.0,,,,5.6875,3.1875,3.4375,,,,,1.13,0.75,0.5252164707327159,1.25,0.6264931052445452,0.6081211952134956
VeasJo00,2,LewiLa00,Lance Lewis,2013,46.67329657274329,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.25,1.046092712987332,1.25,-0.02188619438189532,0.5543010052951067
VeasJo00,3,PoweDa02,Darius Powe,2017,45.30049798360327,0.0,,,,0.0625,0.0,0.0,,,,,1.13,0.75,1.2330077260822776,1.25,-0.03873217281582653,0.6081211952134956
VeasJo00,4,ZylsBr00,Brandon Zylstra,2018,45.027251247398624,0.0,,,,0.125,0.6875,,,,,,1.17,1.25,0.9515038521380803,1.25,-0.08417265975201382,0.5532767480637817
VeasJo00,5,HollCo00,Cody Hollister ,2019,45.017316444261944,0.0,,,,0.0625,,,,,,,1.21,0.75,0.9031807580870765,1.25,-0.041627224992054845,0.6828942978292841
VeasJo00,6,BundMa00,Marquis Bundy,2017,44.2710678967052,0.0,,,,0.0,0.0,0.0,,,,,1.13,0.75,0.9515038521380804,1.25,-0.03873217281582653,0.6081211952134956
VeasJo00,7,ElliKe02,Kevin Elliott,2012,43.66896553755723,0.0,,,,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.9299999999999999,0.75,1.148046356493666,1.25,-0.031907747422281085,0.5622725034623218
